id,city,title,rent_raw,size_raw,rent,size,size_norm
1006550,Berlin,Real Market Listing,661.48,57.52,661.48,57.52,0.950081168831169
1003790,Köln,Real Market Listing,435.0,10.7,435.0,10.7,0.0
1005602,Köln,Real Market Listing,471.5,41.0,471.5,41.0,0.6148538961038961
1001090,Berlin,Real Market Listing,566.45,56.14,566.45,56.14,0.922077922077922
1005438,Köln,Real Market Listing,850.0,58.0,850.0,58.0,0.9598214285714285
1001340,Berlin,Real Market Listing,448.8,44.0,448.8,44.0,0.6757305194805194
1001945,Berlin,Real Market Listing,750.0,57.0,750.0,57.0,0.9395292207792207
1000334,Köln,Real Market Listing,1190.0,55.0,1190.0,55.0,0.8989448051948051
1002542,Berlin,Real Market Listing,1250.0,52.0,1250.0,52.0,0.8380681818181818
1006473,Berlin,Real Market Listing,365.87,51.97,365.87,51.97,0.8374594155844155
1003662,Berlin,Real Market Listing,774.0,39.0,774.0,39.0,0.5742694805194806
1004394,München,Real Market Listing,990.0,50.0,990.0,50.0,0.7974837662337662
1002754,Berlin,Real Market Listing,603.0,52.0,603.0,52.0,0.8380681818181818
1004235,Berlin,Real Market Listing,1135.0,52.0,1135.0,52.0,0.8380681818181818
1001684,Berlin,Real Market Listing,291.0,36.8,291.0,36.8,0.5296266233766234
1003455,Köln,Real Market Listing,599.0,18.0,599.0,18.0,0.1481331168831169
1004538,Köln,Real Market Listing,850.0,27.0,850.0,27.0,0.330762987012987
1001487,Hamburg,Real Market Listing,355.0,23.62,355.0,23.62,0.26217532467532473
1003428,Berlin,Real Market Listing,450.0,40.0,450.0,40.0,0.5945616883116883
1003660,Berlin,Real Market Listing,560.0,16.0,560.0,16.0,0.10754870129870131
1000298,Berlin,Real Market Listing,888.9,59.26,888.9,59.26,0.9853896103896104
1003400,Hamburg,Real Market Listing,382.0,34.0,382.0,34.0,0.47280844155844154
1004531,München,Real Market Listing,1180.0,56.0,1180.0,56.0,0.9192370129870129
1000903,München,Real Market Listing,850.0,40.87,850.0,40.87,0.6122159090909091
1001468,Berlin,Real Market Listing,749.77,53.67,749.77,53.67,0.8719561688311688
1001393,Potsdam,Real Market Listing,469.0,25.0,469.0,25.0,0.29017857142857145
1000252,Berlin,Real Market Listing,551.25,31.5,551.25,31.5,0.4220779220779221
1001498,Hamburg,Real Market Listing,586.0,40.0,586.0,40.0,0.5945616883116883
1003646,München,Real Market Listing,1050.0,33.0,1050.0,33.0,0.4525162337662338
1004528,Hamburg,Real Market Listing,530.0,53.19,530.0,53.19,0.862215909090909
1001220,Köln,Real Market Listing,1190.0,40.0,1190.0,40.0,0.5945616883116883
1002586,Berlin,Real Market Listing,356.0,30.6,356.0,30.6,0.4038149350649351
1005010,Köln,Real Market Listing,1350.0,40.0,1350.0,40.0,0.5945616883116883
1003126,München,Real Market Listing,730.0,32.5,730.0,32.5,0.44237012987012986
1004639,Hamburg,Real Market Listing,640.0,50.0,640.0,50.0,0.7974837662337662
1004898,Berlin,Real Market Listing,733.5,48.9,733.5,48.9,0.7751623376623377
1003857,Köln,Real Market Listing,550.0,40.0,550.0,40.0,0.5945616883116883
1005940,München,Real Market Listing,1350.0,33.0,1350.0,33.0,0.4525162337662338
1004256,Berlin,Real Market Listing,512.0,31.9,512.0,31.9,0.4301948051948052
1002895,Berlin,Real Market Listing,691.0,59.07,691.0,59.07,0.9815340909090909
1000676,Köln,Real Market Listing,440.0,40.0,440.0,40.0,0.5945616883116883
1002759,Hamburg,Real Market Listing,500.0,42.64,500.0,42.64,0.6481331168831169
1006336,Berlin,Real Market Listing,300.0,35.57,300.0,35.57,0.5046672077922078
1006451,Berlin,Real Market Listing,740.0,52.0,740.0,52.0,0.8380681818181818
1005281,München,Real Market Listing,1128.6,31.35,1128.6,31.35,0.41903409090909094
1004700,München,Real Market Listing,1160.0,56.0,1160.0,56.0,0.9192370129870129
1000297,Berlin,Real Market Listing,700.0,15.0,700.0,15.0,0.08725649350649352
1000506,Hamburg,Real Market Listing,788.0,44.0,788.0,44.0,0.6757305194805194
1005693,München,Real Market Listing,595.0,41.0,595.0,41.0,0.6148538961038961
1004288,Berlin,Real Market Listing,739.0,29.2,739.0,29.2,0.37540584415584416
1000553,Hamburg,Real Market Listing,1216.98,45.11,1216.98,45.11,0.6982548701298701
1003258,Berlin,Real Market Listing,760.0,38.71,760.0,38.71,0.5683847402597403
1004553,Hamburg,Real Market Listing,999.0,34.0,999.0,34.0,0.47280844155844154
1006294,München,Real Market Listing,550.0,31.0,550.0,31.0,0.4119318181818182
1006143,Hamburg,Real Market Listing,1370.0,58.0,1370.0,58.0,0.9598214285714285
1002110,Berlin,Real Market Listing,592.61,55.0,592.61,55.0,0.8989448051948051
1004374,Berlin,Real Market Listing,599.0,38.93,599.0,38.93,0.572849025974026
1004013,Hamburg,Real Market Listing,690.0,55.0,690.0,55.0,0.8989448051948051
1002638,Hamburg,Real Market Listing,600.0,55.92,600.0,55.92,0.9176136363636364
1003044,Berlin,Real Market Listing,795.0,42.6,795.0,42.6,0.6473214285714286
1006283,Köln,Real Market Listing,500.0,29.0,500.0,29.0,0.3713474025974026
1003379,Hamburg,Real Market Listing,590.0,53.44,590.0,53.44,0.8672889610389609
1002981,München,Real Market Listing,760.0,27.0,760.0,27.0,0.330762987012987
1004734,Köln,Real Market Listing,885.0,58.6,885.0,58.6,0.9719967532467534
1003796,Berlin,Real Market Listing,476.0,56.0,476.0,56.0,0.9192370129870129
1001728,Berlin,Real Market Listing,832.0,52.0,832.0,52.0,0.8380681818181818
1005133,Berlin,Real Market Listing,1091.0,57.0,1091.0,57.0,0.9395292207792207
1002653,Hamburg,Real Market Listing,550.0,54.07,550.0,54.07,0.880073051948052
1002299,Berlin,Real Market Listing,907.0,55.0,907.0,55.0,0.8989448051948051
1000881,Köln,Real Market Listing,579.0,47.0,579.0,47.0,0.7366071428571428
1006229,Köln,Real Market Listing,825.0,55.0,825.0,55.0,0.8989448051948051
1006012,Berlin,Real Market Listing,367.47,57.37,367.47,57.37,0.9470373376623377
1006408,Hamburg,Real Market Listing,649.0,49.08,649.0,49.08,0.7788149350649349
1002656,Berlin,Real Market Listing,752.0,59.45,752.0,59.45,0.9892451298701298
1003805,Hamburg,Real Market Listing,548.96,46.92,548.96,46.92,0.7349837662337662
1000829,München,Real Market Listing,970.0,32.39,970.0,32.39,0.440137987012987
1006163,Berlin,Real Market Listing,790.0,56.35,790.0,56.35,0.9263392857142858
1002431,Hamburg,Real Market Listing,569.0,35.6,569.0,35.6,0.505275974025974
1002663,Berlin,Real Market Listing,1140.0,53.0,1140.0,53.0,0.8583603896103895
1004879,Berlin,Real Market Listing,551.0,53.96,551.0,53.96,0.8778409090909092
1000486,München,Real Market Listing,1290.0,51.6,1290.0,51.6,0.8299512987012988
1001121,Berlin,Real Market Listing,1060.29,57.82,1060.29,57.82,0.9561688311688312
1005766,Berlin,Real Market Listing,417.44,51.0,417.44,51.0,0.8177759740259739
1005427,Köln,Real Market Listing,615.0,41.0,615.0,41.0,0.6148538961038961
1003237,München,Real Market Listing,1100.0,25.0,1100.0,25.0,0.29017857142857145
1001433,Hamburg,Real Market Listing,410.0,52.0,410.0,52.0,0.8380681818181818
1006233,Berlin,Real Market Listing,799.64,57.24,799.64,57.24,0.9443993506493508
1004410,München,Real Market Listing,1475.0,58.0,1475.0,58.0,0.9598214285714285
1001020,Köln,Real Market Listing,628.16,31.94,628.16,31.94,0.43100649350649356
1003357,Hamburg,Real Market Listing,1177.99,54.26,1177.99,54.26,0.8839285714285715
1003464,Berlin,Real Market Listing,1104.5,46.02,1104.5,46.02,0.7167207792207794
1005271,Berlin,Real Market Listing,420.0,51.0,420.0,51.0,0.8177759740259739
1003842,Berlin,Real Market Listing,405.75,54.1,405.75,54.1,0.8806818181818182
1000135,München,Real Market Listing,1150.0,30.0,1150.0,30.0,0.39163961038961037
1001370,München,Real Market Listing,1000.0,37.0,1000.0,37.0,0.533685064935065
1006159,Köln,Real Market Listing,740.0,44.67,740.0,44.67,0.6893262987012987
1000199,Köln,Real Market Listing,640.0,38.0,640.0,38.0,0.5539772727272727
1002191,Berlin,Real Market Listing,750.0,11.0,750.0,11.0,0.006087662337662352
1000122,Berlin,Real Market Listing,870.0,56.0,870.0,56.0,0.9192370129870129
1000084,München,Real Market Listing,900.0,30.0,900.0,30.0,0.39163961038961037
1001186,Berlin,Real Market Listing,400.0,49.0,400.0,49.0,0.7771915584415584
1001375,Berlin,Real Market Listing,399.0,11.0,399.0,11.0,0.006087662337662352
1003195,München,Real Market Listing,511.7,34.0,511.7,34.0,0.47280844155844154
1005570,Köln,Real Market Listing,562.32,24.85,562.32,24.85,0.2871347402597403
1006470,Berlin,Real Market Listing,306.37,43.0,306.37,43.0,0.6554383116883116
1001630,Berlin,Real Market Listing,1105.0,34.87,1105.0,34.87,0.4904626623376623
1001117,Köln,Real Market Listing,440.0,22.0,440.0,22.0,0.22930194805194806
1001557,Berlin,Real Market Listing,830.0,55.0,830.0,55.0,0.8989448051948051
1005385,Berlin,Real Market Listing,554.0,37.8,554.0,37.8,0.5499188311688311
1005862,München,Real Market Listing,1092.0,37.0,1092.0,37.0,0.533685064935065
1003257,Berlin,Real Market Listing,1036.08,57.56,1036.08,57.56,0.9508928571428571
1001451,Köln,Real Market Listing,725.0,52.0,725.0,52.0,0.8380681818181818
1005620,München,Real Market Listing,1290.0,40.2,1290.0,40.2,0.5986201298701299
1003916,Köln,Real Market Listing,1240.0,46.0,1240.0,46.0,0.716314935064935
1004163,Berlin,Real Market Listing,810.0,35.0,810.0,35.0,0.49310064935064934
1005720,Berlin,Real Market Listing,550.0,33.0,550.0,33.0,0.4525162337662338
1000505,München,Real Market Listing,842.0,55.0,842.0,55.0,0.8989448051948051
1003615,Berlin,Real Market Listing,1117.51,59.92,1117.51,59.92,0.9987824675324675
1000401,München,Real Market Listing,760.0,59.0,760.0,59.0,0.9801136363636362
1001835,Berlin,Real Market Listing,333.99,42.17,333.99,42.17,0.6385957792207793
1005542,Berlin,Real Market Listing,512.0,32.0,512.0,32.0,0.432224025974026
1004732,Berlin,Real Market Listing,434.58,50.78,434.58,50.78,0.8133116883116882
1003418,Berlin,Real Market Listing,395.84,38.31,395.84,38.31,0.5602678571428572
1005417,München,Real Market Listing,563.92,41.71,563.92,41.71,0.6292613636363636
1004950,Berlin,Real Market Listing,447.3,42.6,447.3,42.6,0.6473214285714286
1001922,Berlin,Real Market Listing,396.2,35.63,396.2,35.63,0.5058847402597403
1002304,München,Real Market Listing,630.0,42.0,630.0,42.0,0.6351461038961039
1004091,Berlin,Real Market Listing,579.1,21.8,579.1,21.8,0.22524350649350652
1000534,Berlin,Real Market Listing,269.25,32.0,269.25,32.0,0.432224025974026
1000318,Berlin,Real Market Listing,499.77,38.6,499.77,38.6,0.5661525974025974
1004102,Berlin,Real Market Listing,811.55,33.55,811.55,33.55,0.463676948051948
1005920,Potsdam,Real Market Listing,330.0,20.4,330.0,20.4,0.19683441558441556
1003187,Berlin,Real Market Listing,681.3,59.9,681.3,59.9,0.9983766233766234
1006218,Köln,Real Market Listing,605.0,38.0,605.0,38.0,0.5539772727272727
1004176,München,Real Market Listing,1000.0,40.0,1000.0,40.0,0.5945616883116883
1002107,Köln,Real Market Listing,460.8,28.8,460.8,28.8,0.3672889610389611
1005416,Hamburg,Real Market Listing,550.0,36.0,550.0,36.0,0.5133928571428571
1004257,Köln,Real Market Listing,385.0,33.0,385.0,33.0,0.4525162337662338
1000555,Berlin,Real Market Listing,520.0,50.0,520.0,50.0,0.7974837662337662
1002910,München,Real Market Listing,1100.0,56.57,1100.0,56.57,0.9308035714285715
1005333,Köln,Real Market Listing,890.0,57.0,890.0,57.0,0.9395292207792207
1006082,Berlin,Real Market Listing,547.5,34.2,547.5,34.2,0.4768668831168832
1006234,Köln,Real Market Listing,650.0,50.0,650.0,50.0,0.7974837662337662
1005064,Hamburg,Real Market Listing,1100.0,48.0,1100.0,48.0,0.7568993506493505
1003516,München,Real Market Listing,1120.0,56.0,1120.0,56.0,0.9192370129870129
1004404,München,Real Market Listing,900.0,48.0,900.0,48.0,0.7568993506493505
1000227,Berlin,Real Market Listing,645.0,46.0,645.0,46.0,0.716314935064935
1000319,München,Real Market Listing,1350.0,37.0,1350.0,37.0,0.533685064935065
1005421,Berlin,Real Market Listing,470.0,17.0,470.0,17.0,0.12784090909090912
1000724,Berlin,Real Market Listing,528.0,32.0,528.0,32.0,0.432224025974026
1003399,Hamburg,Real Market Listing,1215.2,43.4,1215.2,43.4,0.6635551948051949
1003820,München,Real Market Listing,380.0,11.0,380.0,11.0,0.006087662337662352
1003265,Berlin,Real Market Listing,671.0,51.99,671.0,51.99,0.8378652597402598
1004004,Berlin,Real Market Listing,511.62,55.46,511.62,55.46,0.9082792207792209
1001047,Berlin,Real Market Listing,600.0,35.0,600.0,35.0,0.49310064935064934
1001174,Berlin,Real Market Listing,443.36,26.87,443.36,26.87,0.328125
1001786,Berlin,Real Market Listing,449.0,33.54,449.0,33.54,0.463474025974026
1001357,Hamburg,Real Market Listing,710.0,53.0,710.0,53.0,0.8583603896103895
1006402,Hamburg,Real Market Listing,637.95,56.96,637.95,56.96,0.9387175324675325
1002473,Berlin,Real Market Listing,1059.3,48.15,1059.3,48.15,0.7599431818181819
1000179,München,Real Market Listing,530.0,17.89,530.0,17.89,0.14590097402597405
1002845,Berlin,Real Market Listing,390.0,52.0,390.0,52.0,0.8380681818181818
1006323,Berlin,Real Market Listing,610.0,56.95,610.0,56.95,0.9385146103896104
1001741,Berlin,Real Market Listing,310.0,31.78,310.0,31.78,0.4277597402597403
1000626,Berlin,Real Market Listing,280.0,32.0,280.0,32.0,0.432224025974026
1005571,München,Real Market Listing,1160.0,56.0,1160.0,56.0,0.9192370129870129
1004183,Berlin,Real Market Listing,310.39,27.59,310.39,27.59,0.34273538961038963
1002458,Köln,Real Market Listing,1150.0,50.0,1150.0,50.0,0.7974837662337662
1004121,Köln,Real Market Listing,450.0,23.0,450.0,23.0,0.24959415584415584
1000371,Berlin,Real Market Listing,780.0,28.11,780.0,28.11,0.35328733766233766
1001108,Berlin,Real Market Listing,354.38,36.03,354.38,36.03,0.5140016233766234
1001483,Berlin,Real Market Listing,362.14,48.61,362.14,48.61,0.7692775974025973
1003700,München,Real Market Listing,989.0,36.0,989.0,36.0,0.5133928571428571
1003948,Berlin,Real Market Listing,1331.64,50.0,1331.64,50.0,0.7974837662337662
1003129,Berlin,Real Market Listing,650.0,27.0,650.0,27.0,0.330762987012987
1002880,Köln,Real Market Listing,1079.0,30.0,1079.0,30.0,0.39163961038961037
1005842,Berlin,Real Market Listing,624.0,52.0,624.0,52.0,0.8380681818181818
1005349,Köln,Real Market Listing,1490.0,58.43,1490.0,58.43,0.968547077922078
1003311,München,Real Market Listing,1050.0,28.95,1050.0,28.95,0.3703327922077922
1005219,Berlin,Real Market Listing,379.0,37.0,379.0,37.0,0.533685064935065
1006403,München,Real Market Listing,1190.0,53.04,1190.0,53.04,0.859172077922078
1004072,Köln,Real Market Listing,270.0,24.0,270.0,24.0,0.26988636363636365
1005119,Köln,Real Market Listing,495.0,44.0,495.0,44.0,0.6757305194805194
1000681,Hamburg,Real Market Listing,417.0,41.77,417.0,41.77,0.6304788961038962
1001965,Hamburg,Real Market Listing,510.0,24.0,510.0,24.0,0.26988636363636365
1005619,Berlin,Real Market Listing,599.33,51.8,599.33,51.8,0.8340097402597402
1001438,München,Real Market Listing,568.16,40.67,568.16,40.67,0.6081574675324676
1004056,Hamburg,Real Market Listing,454.16,54.12,454.16,54.12,0.8810876623376623
1002705,Berlin,Real Market Listing,725.0,33.28,725.0,33.28,0.45819805194805197
1003838,Berlin,Real Market Listing,1090.0,39.0,1090.0,39.0,0.5742694805194806
1001421,München,Real Market Listing,1140.0,22.0,1140.0,22.0,0.22930194805194806
1001578,Hamburg,Real Market Listing,398.0,33.24,398.0,33.24,0.4573863636363637
1002004,Berlin,Real Market Listing,631.0,54.0,631.0,54.0,0.8786525974025974
1000748,Berlin,Real Market Listing,495.89,55.07,495.89,55.07,0.9003652597402598
1003365,Hamburg,Real Market Listing,630.0,53.0,630.0,53.0,0.8583603896103895
1002229,Berlin,Real Market Listing,950.0,24.0,950.0,24.0,0.26988636363636365
1000057,München,Real Market Listing,1350.0,42.0,1350.0,42.0,0.6351461038961039
1002063,Berlin,Real Market Listing,500.0,18.7,500.0,18.7,0.16233766233766234
1005296,Berlin,Real Market Listing,450.0,55.78,450.0,55.78,0.9147727272727272
1005657,München,Real Market Listing,1150.0,31.0,1150.0,31.0,0.4119318181818182
1002410,Berlin,Real Market Listing,800.0,47.76,800.0,47.76,0.7520292207792209
1002024,München,Real Market Listing,1390.0,55.0,1390.0,55.0,0.8989448051948051
1001883,München,Real Market Listing,700.0,27.33,700.0,27.33,0.33745941558441556
1005594,Potsdam,Real Market Listing,575.0,48.0,575.0,48.0,0.7568993506493505
